French,English
partie,part
chercher,search
seulement,only
pensais,thought
mois,month
laisser,let
laisse,leash
ville,city
chaque,each
pendant,while
aucune,any
savais,knew
étaient,were
pourrais,could
donner,give
leurs,their
donné,given
endroit,place
trouve,find
premier,first
perdu,lost
sois,be
venu,came
suite,after
devant,in front of
vers,towards
minutes,minutes
demandé,request
enfin,finally
parti,left
arrêter,Stop
dirait,would say
croire,believe
gros,large
plutôt,rather
aura,will have
bureau,office
